City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
226,Baruun-Urt,MN,2022-01-30 18:00:08,46.6806,113.2792,-7.38,96,77,5.46
227,Evensk,RU,2022-01-30 18:00:08,61.95,159.2333,18.41,83,100,25.97
228,Margate,GB,2022-01-30 17:59:40,51.3813,1.3862,43.7,76,93,4.0
229,Gazli,UZ,2022-01-30 18:01:10,40.1333,63.45,36.43,63,0,10.85
230,Eydhafushi,MV,2022-01-30 17:56:57,5.1033,73.0708,81.7,77,62,14.41
231,Ancud,CL,2022-01-30 18:01:10,-41.8697,-73.8203,63.43,56,39,11.43
232,Kavieng,PG,2022-01-30 17:58:36,-2.5744,150.7967,80.94,75,88,1.79
233,Longyearbyen,SJ,2022-01-30 17:57:15,78.2186,15.6401,8.44,66,0,19.57
234,Cabra,ES,2022-01-30 18:01:11,37.4725,-4.4421,62.04,35,2,1.23
235,Conceicao Do Araguaia,BR,2022-01-30 18:01:11,-8.2578,-49.2647,81.61,73,98,6.89
236,Dingle,PH,2022-01-30 18:01:12,10.9995,122.6711,75.42,92,78,2.51
237,Eckernforde,DE,2022-01-30 18:01:12,54.4667,9.8333,41.4,72,14,14.97
238,Pacific Grove,US,2022-01-30 18:01:13,36.6177,-121.9166,60.42,61,0,7.0
239,Broome,US,2022-01-30 18:01:13,42.2506,-75.833,21.78,64,75,1.99
240,Turki,RU,2022-01-30 18:01:13,51.987,43.2731,24.13,92,100,11.14
241,Upata,VE,2022-01-30 18:01:14,8.0086,-62.3989,89.44,30,59,6.98
242,Tiarei,PF,2022-01-30 18:01:14,-17.5333,-149.3333,73.42,75,80,10.02
243,Aykhal,RU,2022-01-30 18:01:15,66.0,111.5,-21.89,100,59,3.15
244,Alofi,NU,2022-01-30 18:01:15,-19.0595,-169.9187,80.04,76,95,7.87
245,Soure,BR,2022-01-30 18:01:15,-0.7167,-48.5233,77.79,85,100,5.37
246,Camacha,PT,2022-01-30 18:01:16,33.0833,-16.3333,64.53,82,40,17.27
247,Atar,MR,2022-01-30 18:01:16,20.5169,-13.0499,89.22,8,100,7.96
248,Saint-Georges,GD,2022-01-30 18:01:17,12.0564,-61.7485,78.73,75,55,13.91
249,Mustasaari,FI,2022-01-30 17:58:55,63.1142,21.6822,22.95,93,100,18.41
250,Almaznyy,RU,2022-01-30 18:01:18,48.0448,40.045,30.34,92,100,16.2
251,Khargone,IN,2022-01-30 18:01:18,21.8167,75.6,68.43,24,0,3.15
252,Inhambane,MZ,2022-01-30 18:01:18,-23.865,35.3833,76.01,70,70,7.34
253,Almoloya Del Rio,MX,2022-01-30 18:01:19,19.1581,-99.4897,62.13,32,0,3.06
254,Dunedin,NZ,2022-01-30 17:58:02,-45.8742,170.5036,54.81,90,32,4.59
255,Hajiganj,BD,2022-01-30 18:01:19,23.2511,90.8592,59.25,59,0,3.6
256,Port Blair,IN,2022-01-30 18:01:20,11.6667,92.75,73.11,71,44,8.21
257,Khatanga,RU,2022-01-30 18:01:20,71.9667,102.5,-8.3,98,98,9.75
258,Forestville,US,2022-01-30 18:01:21,38.8451,-76.875,31.19,38,0,6.91
259,Egvekinot,RU,2022-01-30 18:01:21,66.3167,-179.1667,0.14,62,52,8.01
260,Shingu,JP,2022-01-30 18:01:21,33.7333,135.9833,37.26,76,66,7.52
261,Hofn,IS,2022-01-30 17:59:47,64.2539,-15.2082,27.46,49,67,22.66
262,Pringsewu,ID,2022-01-30 18:01:22,-5.3582,104.9744,74.88,96,100,2.26
263,Ahuimanu,US,2022-01-30 18:01:22,21.4447,-157.8378,74.46,72,33,3.0
264,Vestmannaeyjar,IS,2022-01-30 18:01:23,63.4427,-20.2734,29.39,74,40,41.43
265,Biak,ID,2022-01-30 18:01:23,-0.9131,122.8766,76.32,80,88,5.59
266,Meulaboh,ID,2022-01-30 18:01:24,4.1363,96.1285,78.15,81,84,3.29
267,Vila Velha,BR,2022-01-30 18:01:21,-20.3297,-40.2925,88.12,61,77,15.03
268,Dhidhdhoo,MV,2022-01-30 18:01:24,6.8833,73.1,81.05,76,11,8.84
269,Tura,IN,2022-01-30 18:01:25,25.5198,90.2201,52.97,57,7,3.36
270,Wattegama,LK,2022-01-30 18:01:25,6.7989,81.4808,72.93,96,11,4.07
271,Mitu,CO,2022-01-30 18:00:02,1.1983,-70.1733,92.41,29,67,5.5
272,Kirakira,SB,2022-01-30 18:01:25,-10.4544,161.9205,80.46,83,100,4.27
273,Pontes E Lacerda,BR,2022-01-30 17:58:55,-15.2261,-59.3353,77.86,91,96,6.17
274,Necochea,AR,2022-01-30 18:01:26,-38.5473,-58.7368,72.03,63,90,20.51
275,Dali,CN,2022-01-30 18:02:26,25.7,100.1833,38.89,86,19,4.72
276,Rassvet,RU,2022-01-30 18:02:27,46.8333,40.75,32.41,97,75,6.71
277,Coquimbo,CL,2022-01-30 17:59:37,-29.9533,-71.3436,69.53,60,0,14.97
278,Te Anau,NZ,2022-01-30 18:02:28,-45.4167,167.7167,53.47,95,16,0.83
279,Maceio,BR,2022-01-30 18:00:09,-9.6658,-35.7353,90.84,55,40,17.27
280,Joao Pinheiro,BR,2022-01-30 18:02:05,-17.7425,-46.1725,76.57,75,71,5.17
281,Xichang,CN,2022-01-30 18:02:28,27.8964,102.2634,38.41,74,52,4.56
282,Bambous Virieux,MU,2022-01-30 18:02:28,-20.3428,57.7575,80.85,83,75,8.05
283,Maykor,RU,2022-01-30 18:02:29,59.0059,55.88,0.23,100,96,2.89
284,Fecamp,FR,2022-01-30 18:02:29,49.7579,0.3746,45.7,83,32,9.06
285,Dunbar,US,2022-01-30 18:00:03,38.3606,-81.7374,41.18,46,89,1.99
